Product ID;Product Name;Category;Sub Category;Proveedor ID;Marca;Costo por unidad;Otros impuestos 2%; Total costo ;25%  Rentabilidad;IVA 21%;Precio final;;
P001;Coca cola original lata 220ml;Bebidas;Gaseosas;pr001;Coca cola; $ 664 ;13; $ 678 ; $ 847 ; $ 178 ; $ 1.025 ;Promedio costo;Rentabilidad promedio
P002;Coca cola original 237ml;Bebidas;Gaseosas;pr001;Coca cola; $ 886 ;18; $ 904 ; $ 1.130 ; $ 237 ; $ 1.367 ; $ 2.090 ; $ 522 
P003;Coca cola original lata 354ml;Bebidas;Gaseosas;pr001;Coca cola; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P004;Coca cola original lata Zero 354 ml;Bebidas;Gaseosas;pr001;Coca cola; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P005;Coca cola original 500ml;Bebidas;Gaseosas;PR001;Coca cola; $ 1.661 ;33; $ 1.694 ; $ 2.118 ; $ 445 ; $ 2.563 ;;
P006;Coca cola original Zero 500ml;Bebidas;Gaseosas;pr001;Coca cola; $ 1.661 ;33; $ 1.694 ; $ 2.118 ; $ 445 ; $ 2.563 ;;
P007;Coca cola light 310ml;Bebidas;Gaseosas;pr001;Coca cola; $ 1.107 ;22; $ 1.130 ; $ 1.412 ; $ 297 ; $ 1.709 ;;
P008;Coca cola original 1l;Bebidas;Gaseosas;pr001;Coca cola; $ 1.993 ;40; $ 2.033 ; $ 2.542 ; $ 534 ; $ 3.075 ;;
P009;Coca cola Zero 1l;Bebidas;Gaseosas;pr001;Coca cola; $ 1.993 ;40; $ 2.033 ; $ 2.542 ; $ 534 ; $ 3.075 ;;
P010;Coca cola retornable 1,25l;Bebidas;Gaseosas;pr001;Coca cola; $ 2.436 ;49; $ 2.485 ; $ 3.106 ; $ 652 ; $ 3.759 ;;
P011;Coca cola retornable Zero 1,25l;Bebidas;Gaseosas;pr001;Coca cola; $ 2.436 ;49; $ 2.485 ; $ 3.106 ; $ 652 ; $ 3.759 ;;
P012;Coca cola original 1,5l;Bebidas;Gaseosas;pr001;Coca cola; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P013;Coca cola Zero 1,5l;Bebidas;Gaseosas;pr001;Coca cola; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P014;Coca cola Light 1,5l;Bebidas;Gaseosas;pr001;Coca cola; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P015;Coca cola retornable 2l;Bebidas;Gaseosas;pr001;Coca cola; $ 3.433 ;69; $ 3.502 ; $ 4.377 ; $ 919 ; $ 5.296 ;;
P016;Coca cola retornable Zero 2l;Bebidas;Gaseosas;pr001;Coca cola; $ 3.433 ;69; $ 3.502 ; $ 4.377 ; $ 919 ; $ 5.296 ;;
P017;Coca cola original 2,25l;Bebidas;Gaseosas;pr001;Coca cola; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P018;Coca cola original Zero 2,25l;Bebidas;Gaseosas;pr001;Coca cola; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P019;Sprite lata 354ml;Bebidas;Gaseosas;pr001;Sprite; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P020;Sprite lata Zero 354ml;Bebidas;Gaseosas;pr001;Sprite; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P021;Sprite ice 473ml;Bebidas;Gaseosas;pr001;Sprite; $ 1.550 ;31; $ 1.581 ; $ 1.977 ; $ 415 ; $ 2.392 ;;
P022;Sprite 500ml;Bebidas;Gaseosas;pr001;Sprite; $ 1.661 ;33; $ 1.694 ; $ 2.118 ; $ 445 ; $ 2.563 ;;
P023;Sprite Zero 500ml;Bebidas;Gaseosas;pr001;Sprite; $ 1.661 ;33; $ 1.694 ; $ 2.118 ; $ 445 ; $ 2.563 ;;
P024;Sprite 1l;Bebidas;Gaseosas;pr001;Sprite; $ 1.993 ;40; $ 2.033 ; $ 2.542 ; $ 534 ; $ 3.075 ;;
P025;Sprite 1,5l;Bebidas;Gaseosas;pr001;Sprite; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P026;Sprite Zero 1,5l;Bebidas;Gaseosas;pr001;Sprite; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P027;Sprite 2,25l;Bebidas;Gaseosas;pr001;Sprite; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P028;Sprite Zero 2,25l;Bebidas;Gaseosas;pr001;Sprite; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P029;Fanta lata 354ml;Bebidas;Gaseosas;pr001;Fanta; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P030;Fanta lata Zero 354ml;Bebidas;Gaseosas;pr001;Fanta; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P031;Fanta halloween 473ml;Bebidas;Gaseosas;pr001;Fanta; $ 1.550 ;31; $ 1.581 ; $ 1.977 ; $ 415 ; $ 2.392 ;;
