cantidad;Product ID;Cliente ID;Fecha;Envío;Método de pago;Recargo;Orden ID; Precio ;Orden; Mas envio ;Mas recargo;Precio Final
19;P111;C001;3/7/2025;Si;Efectivo;No; O0207 ; $ 2.221 ; $ 42.200 ; $ 2.000 ; $ -   ; $ 44.200 
12;P119;C001;4/7/2025;Si;Efectivo;No; O0277 ; $ 5.467 ; $ 65.607 ; $ 2.000 ; $ -   ; $ 67.607 
13;P105;C001;14/7/2025;Si;Efectivo;No; O0901 ; $ 5.809 ; $ 75.517 ; $ 2.000 ; $ -   ; $ 77.517 
3;P111;C001;16/7/2025;No;Credito;Si; O1087 ; $ 2.221 ; $ 6.663 ; $ -   ; $ 333 ; $ 6.996 
13;P076;C001;19/7/2025;Si;Efectivo;No; O1302 ; $ 2.563 ; $ 33.316 ; $ 2.000 ; $ -   ; $ 35.316 
10;P089;C001;20/7/2025;No;Efectivo;No; O1318 ; $ 2.392 ; $ 23.919 ; $ -   ; $ -   ; $ 23.919 
11;P061;C002;10/7/2025;No;Efectivo;No; O0629 ; $ 5.126 ; $ 56.381 ; $ -   ; $ -   ; $ 56.381 
8;P032;C002;10/7/2025;No;Efectivo;No; O0642 ; $ 2.563 ; $ 20.502 ; $ -   ; $ -   ; $ 20.502 
16;P075;C002;13/7/2025;No;Efectivo;No; O0851 ; $ 1.879 ; $ 30.070 ; $ -   ; $ -   ; $ 30.070 
4;P098;C002;17/7/2025;No;Efectivo;No; O1167 ; $ 4.271 ; $ 17.085 ; $ -   ; $ -   ; $ 17.085 
9;P087;C002;25/7/2025;No;Efectivo;No; O1681 ; $ 5.980 ; $ 53.818 ; $ -   ; $ -   ; $ 53.818 
17;P026;C002;26/7/2025;No;Efectivo;No; O1716 ; $ 5.126 ; $ 87.134 ; $ -   ; $ -   ; $ 87.134 
10;P113;C002;29/7/2025;Si;Efectivo;No; O1898 ; $ 3.930 ; $ 39.296 ; $ 2.000 ; $ -   ; $ 41.296 
14;P009;C003;2/7/2025;Si;Credito;Si; O0141 ; $ 3.075 ; $ 43.055 ; $ 2.000 ; $ 2.153 ; $ 47.207 
5;P080;C003;16/7/2025;Si;Efectivo;No; O1058 ; $ 5.980 ; $ 29.899 ; $ 2.000 ; $ -   ; $ 31.899 
15;P001;C003;19/7/2025;Si;Efectivo;No; O1306 ; $ 1.025 ; $ 15.377 ; $ 2.000 ; $ -   ; $ 17.377 
3;P111;C004;2/7/2025;Si;Efectivo;No; O0101 ; $ 2.221 ; $ 6.663 ; $ 2.000 ; $ -   ; $ 8.663 
9;P074;C004;4/7/2025;No;Efectivo;No; O0236 ; $ 1.879 ; $ 16.914 ; $ -   ; $ -   ; $ 16.914 
13;P047;C005;7/7/2025;No;Efectivo;No; O0433 ; $ 2.050 ; $ 26.653 ; $ -   ; $ -   ; $ 26.653 
15;P081;C005;14/7/2025;Si;Efectivo;No; O0907 ; $ 5.980 ; $ 89.697 ; $ 2.000 ; $ -   ; $ 91.697 
5;P046;C005;17/7/2025;Si;Efectivo;No; O1145 ; $ 2.050 ; $ 10.251 ; $ 2.000 ; $ -   ; $ 12.251 
1;P005;C005;18/7/2025;No;Efectivo;No; O1216 ; $ 2.563 ; $ 2.563 ; $ -   ; $ -   ; $ 2.563 
9;P042;C005;28/7/2025;No;Efectivo;No; O1847 ; $ 1.709 ; $ 15.377 ; $ -   ; $ -   ; $ 15.377 
17;P141;C006;1/7/2025;No;Credito;Si; O0029 ; $ 6.492 ; $ 110.370 ; $ -   ; $ 5.519 ; $ 115.889 
20;P069;C006;6/7/2025;No;Efectivo;No; O0385 ; $ 4.442 ; $ 88.843 ; $ -   ; $ -   ; $ 88.843 
19;P115;C006;10/7/2025;Si;Credito;Si; O0636 ; $ 3.930 ; $ 74.662 ; $ 2.000 ; $ 3.733 ; $ 80.395 
5;P038;C006;11/7/2025;Si;Credito;Si; O0722 ; $ 5.980 ; $ 29.899 ; $ 2.000 ; $ 1.495 ; $ 33.394 
10;P140;C006;12/7/2025;Si;Efectivo;No; O0797 ; $ 6.492 ; $ 64.924 ; $ 2.000 ; $ -   ; $ 66.924 
1;P114;C006;14/7/2025;No;Efectivo;No; O0950 ; $ 3.930 ; $ 3.930 ; $ -   ; $ -   ; $ 3.930 
16;P037;C006;17/7/2025;No;Efectivo;No; O1176 ; $ 5.980 ; $ 95.677 ; $ -   ; $ -   ; $ 95.677 
7;P008;C006;19/7/2025;No;Credito;Si; O1252 ; $ 3.075 ; $ 21.527 ; $ -   ; $ 1.076 ; $ 22.604 
4;P072;C006;30/7/2025;No;Efectivo;No; O1978 ; $ 4.442 ; $ 17.769 ; $ -   ; $ -   ; $ 17.769 
4;P034;C007;1/7/2025;Si;Efectivo;No; O0051 ; $ 3.075 ; $ 12.301 ; $ 2.000 ; $ -   ; $ 14.301 
2;P142;C007;24/7/2025;Si;Efectivo;No; O1609 ; $ 6.492 ; $ 12.985 ; $ 2.000 ; $ -   ; $ 14.985 
13;P057;C008;4/7/2025;Si;Efectivo;No; O0242 ; $ 3.417 ; $ 44.421 ; $ 2.000 ; $ -   ; $ 46.421 
11;P110;C008;5/7/2025;Si;Efectivo;No; O0337 ; $ 2.221 ; $ 24.432 ; $ 2.000 ; $ -   ; $ 26.432 
15;P001;C008;7/7/2025;Si;Efectivo;No; O0439 ; $ 1.025 ; $ 15.377 ; $ 2.000 ; $ -   ; $ 17.377 
10;P019;C008;14/7/2025;Si;Efectivo;No; O0963 ; $ 2.050 ; $ 20.502 ; $ 2.000 ; $ -   ; $ 22.502 
14;P059;C008;17/7/2025;No;Efectivo;No; O1140 ; $ 3.417 ; $ 47.839 ; $ -   ; $ -   ; $ 47.839 
4;P117;C009;1/7/2025;Si;Efectivo;No; O0016 ; $ 5.467 ; $ 21.869 ; $ 2.000 ; $ -   ; $ 23.869 
8;P098;C009;10/7/2025;Si;Efectivo;No; O0655 ; $ 4.271 ; $ 34.170 ; $ 2.000 ; $ -   ; $ 36.170 
13;P142;C009;10/7/2025;No;Efectivo;No; O0671 ; $ 6.492 ; $ 84.401 ; $ -   ; $ -   ; $ 84.401 
10;P011;C009;10/7/2025;No;Efectivo;No; O0674 ; $ 3.759 ; $ 37.587 ; $ -   ; $ -   ; $ 37.587 
3;P057;C009;13/7/2025;No;Credito;Si; O0871 ; $ 3.417 ; $ 10.251 ; $ -   ; $ 513 ; $ 10.764 
7;P030;C009;15/7/2025;Si;Efectivo;No; O0985 ; $ 2.050 ; $ 14.352 ; $ 2.000 ; $ -   ; $ 16.352 
18;P123;C009;17/7/2025;No;Efectivo;No; O1114 ; $ 2.734 ; $ 49.205 ; $ -   ; $ -   ; $ 49.205 
18;P070;C009;17/7/2025;No;Efectivo;No; O1123 ; $ 4.442 ; $ 79.959 ; $ -   ; $ -   ; $ 79.959 
1;P077;C009;24/7/2025;No;Efectivo;No; O1591 ; $ 2.563 ; $ 2.563 ; $ -   ; $ -   ; $ 2.563 
10;P113;C009;26/7/2025;No;Efectivo;No; O1717 ; $ 3.930 ; $ 39.296 ; $ -   ; $ -   ; $ 39.296 
8;P080;C009;26/7/2025;Si;Efectivo;No; O1741 ; $ 5.980 ; $ 47.839 ; $ 2.000 ; $ -   ; $ 49.839 
18;P053;C009;29/7/2025;Si;Efectivo;No; O1896 ; $ 2.050 ; $ 36.904 ; $ 2.000 ; $ -   ; $ 38.904 
3;P081;C010;3/7/2025;No;Efectivo;No; O0183 ; $ 5.980 ; $ 17.939 ; $ -   ; $ -   ; $ 17.939 
19;P030;C010;12/7/2025;Si;Efectivo;No; O0774 ; $ 2.050 ; $ 38.954 ; $ 2.000 ; $ -   ; $ 40.954 
5;P004;C010;13/7/2025;Si;Efectivo;No; O0856 ; $ 2.050 ; $ 10.251 ; $ 2.000 ; $ -   ; $ 12.251 
1;P021;C010;15/7/2025;Si;Efectivo;No; O0976 ; $ 2.392 ; $ 2.392 ; $ 2.000 ; $ -   ; $ 4.392 
5;P112;C010;17/7/2025;Si;Efectivo;No; O1120 ; $ 2.221 ; $ 11.105 ; $ 2.000 ; $ -   ; $ 13.105 
20;P046;C010;18/7/2025;No;Efectivo;No; O1222 ; $ 2.050 ; $ 41.004 ; $ -   ; $ -   ; $ 41.004 
8;P143;C010;23/7/2025;No;Efectivo;No; O1519 ; $ 3.417 ; $ 27.336 ; $ -   ; $ -   ; $ 27.336 
4;P085;C010;23/7/2025;No;Efectivo;No; O1544 ; $ 5.126 ; $ 20.502 ; $ -   ; $ -   ; $ 20.502 
1;P081;C010;30/7/2025;No;Credito;Si; O1966 ; $ 5.980 ; $ 5.980 ; $ -   ; $ 299 ; $ 6.279 
15;P079;C011;4/7/2025;Si;Efectivo;No; O0262 ; $ 5.126 ; $ 76.883 ; $ 2.000 ; $ -   ; $ 78.883 
6;P091;C011;11/7/2025;No;Credito;Si; O0691 ; $ 5.126 ; $ 30.753 ; $ -   ; $ 1.538 ; $ 32.291 
9;P106;C011;20/7/2025;No;Efectivo;No; O1337 ; $ 4.100 ; $ 36.904 ; $ -   ; $ -   ; $ 36.904 
19;P087;C011;22/7/2025;No;Efectivo;No; O1494 ; $ 5.980 ; $ 113.616 ; $ -   ; $ -   ; $ 113.616 
6;P108;C011;27/7/2025;No;Efectivo;No; O1783 ; $ 4.100 ; $ 24.603 ; $ -   ; $ -   ; $ 24.603 
11;P113;C011;30/7/2025;No;Efectivo;No; O1994 ; $ 3.930 ; $ 43.226 ; $ -   ; $ -   ; $ 43.226 
11;P057;C012;2/7/2025;Si;Efectivo;No; O0096 ; $ 3.417 ; $ 37.587 ; $ 2.000 ; $ -   ; $ 39.587 
16;P022;C012;2/7/2025;Si;Efectivo;No; O0116 ; $ 2.563 ; $ 41.004 ; $ 2.000 ; $ -   ; $ 43.004 
17;P114;C012;5/7/2025;Si;Efectivo;No; O0331 ; $ 3.930 ; $ 66.803 ; $ 2.000 ; $ -   ; $ 68.803 
16;P084;C012;6/7/2025;Si;Efectivo;No; O0408 ; $ 5.126 ; $ 82.009 ; $ 2.000 ; $ -   ; $ 84.009 
3;P044;C012;8/7/2025;No;Efectivo;No; O0490 ; $ 5.126 ; $ 15.377 ; $ -   ; $ -   ; $ 15.377 
5;P047;C012;8/7/2025;Si;Efectivo;No; O0542 ; $ 2.050 ; $ 10.251 ; $ 2.000 ; $ -   ; $ 12.251 
10;P122;C012;10/7/2025;Si;Efectivo;No; O0624 ; $ 2.734 ; $ 27.336 ; $ 2.000 ; $ -   ; $ 29.336 
7;P121;C012;11/7/2025;No;Efectivo;No; O0690 ; $ 2.734 ; $ 19.135 ; $ -   ; $ -   ; $ 19.135 
11;P013;C012;11/7/2025;Si;Efectivo;No; O0727 ; $ 5.126 ; $ 56.381 ; $ 2.000 ; $ -   ; $ 58.381 
11;P096;C012;29/7/2025;No;Efectivo;No; O1866 ; $ 4.271 ; $ 46.984 ; $ -   ; $ -   ; $ 46.984 
4;P044;C013;3/7/2025;Si;Efectivo;No; O0164 ; $ 5.126 ; $ 20.502 ; $ 2.000 ; $ -   ; $ 22.502 
7;P126;C013;3/7/2025;Si;Efectivo;No; O0199 ; $ 4.100 ; $ 28.703 ; $ 2.000 ; $ -   ; $ 30.703 
7;P004;C013;4/7/2025;No;Efectivo;No; O0269 ; $ 2.050 ; $ 14.352 ; $ -   ; $ -   ; $ 14.352 
7;P143;C013;8/7/2025;No;Efectivo;No; O0500 ; $ 3.417 ; $ 23.919 ; $ -   ; $ -   ; $ 23.919 
6;P108;C013;12/7/2025;Si;Efectivo;No; O0813 ; $ 4.100 ; $ 24.603 ; $ 2.000 ; $ -   ; $ 26.603 
7;P042;C013;14/7/2025;Si;Efectivo;No; O0944 ; $ 1.709 ; $ 11.960 ; $ 2.000 ; $ -   ; $ 13.960 
19;P031;C013;20/7/2025;No;Efectivo;No; O1373 ; $ 2.392 ; $ 45.447 ; $ -   ; $ -   ; $ 45.447 
